date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:07:49	243/243	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Jun%202019%2014:07:46%20GMT	http://ssdent.net/layouts/samsung_main/img/lightBox/loading.gif	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/img/lightBox/loading.gif	(from http://ssdent.net/layouts/samsung_main/css/colorBox.css?20190410170045)
23:07:50	32779/32779	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jun%202019%2014:07:46%20GMT	http://ssdent.net/?act=route&vid=layouts&type=samsung_main&identifier=default.layout.css	D:/Work/Homepage/sanbon_samsung/ssdent.net/indexb5ca.html	(from http://ssdent.net/layouts/samsung_main/default.layout.css)
23:07:50	32787/32787	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Jun%202019%2014:07:46%20GMT	http://ssdent.net/?act=route&vid=layouts&type=samsung_main&identifier=default.layout.webfont.css	D:/Work/Homepage/sanbon_samsung/ssdent.net/indexf4d2.html	(from http://ssdent.net/layouts/samsung_main/default.layout.webfont.css)
23:07:50	3391/3391	---M--	200	added ('OK')	image/png	etag:%22d3f-5862877c760d2%22	http://ssdent.net/layouts/samsung_main/images/ctrls2.png	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/ctrls2.png	(from http://ssdent.net/layouts/samsung_main/css/colorBox.css?20190410170045)
23:07:50	1309/1309	---M--	200	added ('OK')	image/png	etag:%2251d-5862877e10352%22	http://ssdent.net/layouts/samsung_main/images/w_close.png	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/images/w_close.png	(from http://ssdent.net/layouts/samsung_main/css/colorBox.css?20190410170045)
23:07:51	206552/206552	---M--	200	added ('OK')	text/html	etag:%22326d8-5862877ae7dba%22	http://ssdent.net/layouts/samsung_main/fonts/NanumSquareR.woff2	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/fonts/NanumSquareR.html	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:07:54	253669/253669	---MCZ	200	added ('OK')	application/javascript	etag:W/%223dee5-5824cb7e1bf38%22	http://ssdent.net/common/js/plugins/ui/jquery-ui.min.js?20190220143457	D:/Work/Homepage/sanbon_samsung/ssdent.net/common/js/plugins/ui/jquery-ui.min3c60.js	(from http://ssdent.net/)
23:08:45	334332/334332	---M--	200	added ('OK')	application/x-font-woff	etag:%22519fc-5862877adba6a%22	http://ssdent.net/layouts/samsung_main/fonts/NanumSquareR.woff	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/fonts/NanumSquareR.woff	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:08:45	208116/208116	---M--	200	added ('OK')	text/html	etag:%2232cf4-5862877ab0702%22	http://ssdent.net/layouts/samsung_main/fonts/NanumSquareB.woff2	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/fonts/NanumSquareB.html	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
23:10:20	921832/921832	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e10e8-5862877ad453a%22	http://ssdent.net/layouts/samsung_main/fonts/NanumSquareR.eot	D:/Work/Homepage/sanbon_samsung/ssdent.net/layouts/samsung_main/fonts/NanumSquareR.eot	(from http://ssdent.net/layouts/samsung_main/css/main.css?20190410175023)
